month_year,Lat,Lon,cv_y,mean_y,median_y,std_y,value_y
Apr 2024,-38.467,-40.508,0.26549563,0.17694575,0.18495154,0.04697832,chlor_a
Apr 2024,-38.349,-40.373,0.232455,0.17479694,0.17375392,0.040632423,chlor_a
Apr 2024,-38.252,-40.258,0.24663536,0.14315931,0.15290894,0.03530815,chlor_a
Apr 2024,-38.132,-40.119,0.23926196,0.1632592,0.18167943,0.039061714,chlor_a
Apr 2024,-38.012,-39.98,0.3053615,0.1625383,0.1642502,0.049632944,chlor_a
Apr 2024,-37.9,-39.85,0.19215263,0.17274927,0.18022826,0.033194225,chlor_a
Apr 2024,-37.782,-39.717,0.25001234,0.19598077,0.20249267,0.04899761,chlor_a
Apr 2024,-37.681,-39.598,0.26743716,0.19932349,0.18528427,0.05330651,chlor_a
Apr 2024,-37.55,-39.448,0.17697108,0.23890997,0.26187348,0.042280156,chlor_a
Apr 2024,-37.41,-39.287,0.24865285,0.20384789,0.22113088,0.050687358,chlor_a
Apr 2024,-37.326,-39.188,0.26915073,0.18459488,0.19700049,0.049683847,chlor_a
Apr 2024,-37.188,-39.036,0.17755547,0.20065661,0.19088373,0.035627678,chlor_a
Apr 2024,-37.083,-38.905,0.1738357,0.1839989,0.17825517,0.031985577,chlor_a
Apr 2024,-37.012,-38.835,0.16539776,0.2041403,0.19156823,0.03376435,chlor_a
Apr 2024,-36.927,-38.728,0.055056572,0.1946886,0.19137749,0.010718887,chlor_a
Apr 2024,-36.688,-38.461,0.1535189,0.20232788,0.19500183,0.031061154,chlor_a
Apr 2024,-36.564,-38.32,0.162637,0.18517402,0.17950924,0.030116145,chlor_a
Apr 2024,-36.449,-38.184,0.046571363,0.16792458,0.16710947,0.007820477,chlor_a
Apr 2024,-36.334,-38.059,0.17573157,0.14971565,0.15483963,0.026309766,chlor_a
Apr 2024,-36.202,-37.907,0.08594587,0.14340693,0.13960385,0.012325233,chlor_a
Apr 2024,-36.167,-37.866,0.14239447,0.14046434,0.14378625,0.020001344,chlor_a
Apr 2024,-36.144,-37.843,0.14239447,0.14046434,0.14378625,0.020001344,chlor_a
Apr 2024,-36.018,-37.7,0.13638684,0.13983352,0.14347768,0.019071452,chlor_a
Apr 2024,-35.88,-37.54,0.08411663,0.13552308,0.13424423,0.011399745,chlor_a
Apr 2024,-35.759,-37.402,0.101788774,0.12534769,0.12089655,0.012758988,chlor_a
Apr 2024,-35.638,-37.265,0.08626626,0.12029374,0.11694749,0.010377291,chlor_a
Apr 2024,-35.52,-37.142,0.011625901,0.11779471,0.117648825,0.0013694696,chlor_a
Apr 2024,-35.404,-37.009,0.09036984,0.12303723,0.11829519,0.011118854,chlor_a
