Lat,Lon
-33.379,-34.769
-33.496,-34.89
-33.603,-35.009
-33.689,-35.109
-33.808,-35.239
-33.829,-35.266
-33.851,-35.287
-33.956,-35.404
-34.063,-35.522
-34.17,-35.639
-34.268,-35.748
-34.497,-36.003
-34.497,-36.003
-34.497,-36.003
-34.581,-36.091
-34.585,-36.092
-34.705,-36.225
-34.829,-36.369
-34.918,-36.467
-34.06,-36.627
-35.176,-36.755
-35.3,-36.893
-35.404,-37.009
-35.52,-37.142
-35.638,-37.265
-35.759,-37.402
-35.88,-37.54
-36.018,-37.7
-36.144,-37.843
-36.167,-37.866
-36.202,-37.907
-36.334,-38.059
-36.449,-38.184
-36.564,-38.32
-36.688,-38.461
-36.927,-38.728
-36.927,-38.728
-36.927,-38.728
-37.012,-38.835
-37.083,-38.905
-37.188,-39.036
-37.326,-39.188
-37.41,-39.287
-37.55,-39.448
-37.681,-39.598
-37.782,-39.717
-37.9,-39.85
-38.012,-39.98
-38.132,-40.119
-38.252,-40.258
-38.349,-40.373
-38.467,-40.508
-38.57,-40.629
-38.584,-40.654
-38.609,-40.687
-38.723,-40.81
-38.839,-40.942
-39.538,-41.068
-39.028,-41.163
-39.106,-41.282
-39.167,-41.396
-39.167,-41.396
-39.167,-41.396
-39.209,-41.475
-39.21,-41.475
-39.278,-41.566
-39.389,-41.703
-39.472,-41.803
-39.57,-41.923
-39.664,-42.041
-39.759,-42.158
-39.855,-42.273
-39.957,-42.398
-40.06,-42.51
-40.158,-42.636
-40.269,-42.775
-40.373,-42.903
-40.492,-42.079
-40.52,-43.082
-40.565,-43.133
-40.65,-43.23
-40.796,-43.389
-40.916,-43.52
-41.02,-43.632
-41.146,-43.77
-41.289,-43.927
-41.289,-43.927
-41.289,-43.927
-41.37,-44.013
-41.371,-44.014
-41.481,-44.145
-41.599,-44.282
-41.719,-44.426
-41.843,-44.573
-41.993,-44.75
-42.068,-44.832
-42.184,-44.953
-42.306,-45.104
-42.418,-45.243
-42.526,-45.377
-42.636,-45.519
-42.754,-45.662
-42.871,-45.805
-42.974,-45.939
-43.005,-45.982
-43.019,-46.006
-43.135,-46.136
-43.268,-46.305
-43.358,-46.418
-43.464,-46.551
-43.596,-46.713
-43.699,-46.839
-43.699,-46.839
-43.699,-46.839
-43.791,-46.955
-43.853,-47.035
-43.966,-47.181
-44.079,-47.328
-44.175,-47.447
-44.282,-47.589
-44.393,-47.729
-44.489,-47.851
-44.593,-47.984
-44.696,-48.116
-44.806,-48.263
-44.921,-48.404
-45.024,-48.541
-45.118,-48.662
-45.231,-48.812
-45.297,-48.896
-45.345,-48.956
-45.456,-48.101
